did,mid,matching
52,934,5.384615384615384
121,2807,5.185185185185185
150,252,5.384615384615384
323,2299,5.806451612903226
422,3761,5.161290322580645
604,3415,5.517241379310345
619,3564,5.142857142857142
730,1695,5.333333333333333
854,2603,5.161290322580645
887,2121,5.384615384615384
928,2234,5.333333333333333
1021,2481,5.925925925925926
1351,4101,5.6000000000000005
1373,3240,5.185185185185185
1412,3319,5.161290322580645
1448,3380,5.294117647058823
1487,3521,5.161290322580645
1963,4369,5.7894736842105265
2136,4915,5.454545454545454
2401,5045,2.4000000000000004
2403,5047,1.4000000000000001
2408,5057,10.3
